"Notes","Year","Year Code","Infant Birth Weight 12","Infant Birth Weight 12 Code",Births
,"2016","2016","499 grams or less","01",Suppressed
,"2016","2016","500 - 999 grams","02",23
,"2016","2016","1000 - 1499 grams","03",29
,"2016","2016","1500 - 1999 grams","04",79
,"2016","2016","2000 - 2499 grams","05",201
,"2016","2016","2500 - 2999 grams","06",682
,"2016","2016","3000 - 3499 grams","07",1127
,"2016","2016","3500 - 3999 grams","08",702
,"2016","2016","4000 - 4499 grams","09",157
,"2016","2016","4500 - 4999 grams","10",19
,"2016","2016","5000 - 8165 grams","11",Suppressed
,"2016","2016","Unknown or Not Stated","12",Suppressed
,"2017","2017","499 grams or less","01",Suppressed
,"2017","2017","500 - 999 grams","02",21
,"2017","2017","1000 - 1499 grams","03",32
,"2017","2017","1500 - 1999 grams","04",69
,"2017","2017","2000 - 2499 grams","05",217
,"2017","2017","2500 - 2999 grams","06",715
,"2017","2017","3000 - 3499 grams","07",1096
,"2017","2017","3500 - 3999 grams","08",676
,"2017","2017","4000 - 4499 grams","09",171
,"2017","2017","4500 - 4999 grams","10",23
,"2017","2017","5000 - 8165 grams","11",Suppressed
,"2017","2017","Unknown or Not Stated","12",Suppressed
,"2018","2018","499 grams or less","01",Suppressed
,"2018","2018","500 - 999 grams","02",33
,"2018","2018","1000 - 1499 grams","03",31
,"2018","2018","1500 - 1999 grams","04",48
,"2018","2018","2000 - 2499 grams","05",209
,"2018","2018","2500 - 2999 grams","06",699
,"2018","2018","3000 - 3499 grams","07",1182
,"2018","2018","3500 - 3999 grams","08",699
,"2018","2018","4000 - 4499 grams","09",208
,"2018","2018","4500 - 4999 grams","10",19
,"2018","2018","5000 - 8165 grams","11",Suppressed
,"2018","2018","Unknown or Not Stated","12",Suppressed
,"2019","2019","499 grams or less","01",12
,"2019","2019","500 - 999 grams","02",30
,"2019","2019","1000 - 1499 grams","03",25
,"2019","2019","1500 - 1999 grams","04",62
,"2019","2019","2000 - 2499 grams","05",224
,"2019","2019","2500 - 2999 grams","06",646
,"2019","2019","3000 - 3499 grams","07",1198
,"2019","2019","3500 - 3999 grams","08",705
,"2019","2019","4000 - 4499 grams","09",157
,"2019","2019","4500 - 4999 grams","10",24
,"2019","2019","5000 - 8165 grams","11",Suppressed
,"2019","2019","Unknown or Not Stated","12",Suppressed
,"2020","2020","499 grams or less","01",Suppressed
,"2020","2020","500 - 999 grams","02",36
,"2020","2020","1000 - 1499 grams","03",43
,"2020","2020","1500 - 1999 grams","04",71
,"2020","2020","2000 - 2499 grams","05",193
,"2020","2020","2500 - 2999 grams","06",642
,"2020","2020","3000 - 3499 grams","07",1123
,"2020","2020","3500 - 3999 grams","08",697
,"2020","2020","4000 - 4499 grams","09",162
,"2020","2020","4500 - 4999 grams","10",22
,"2020","2020","5000 - 8165 grams","11",Suppressed
,"2020","2020","Unknown or Not Stated","12",Suppressed
,"2021","2021","499 grams or less","01",Suppressed
,"2021","2021","500 - 999 grams","02",29
,"2021","2021","1000 - 1499 grams","03",25
,"2021","2021","1500 - 1999 grams","04",68
,"2021","2021","2000 - 2499 grams","05",207
,"2021","2021","2500 - 2999 grams","06",685
,"2021","2021","3000 - 3499 grams","07",1103
,"2021","2021","3500 - 3999 grams","08",678
,"2021","2021","4000 - 4499 grams","09",149
,"2021","2021","4500 - 4999 grams","10",21
,"2021","2021","5000 - 8165 grams","11",Suppressed
,"2021","2021","Unknown or Not Stated","12",Suppressed
,"2022","2022","499 grams or less","01",Suppressed
,"2022","2022","500 - 999 grams","02",24
,"2022","2022","1000 - 1499 grams","03",36
,"2022","2022","1500 - 1999 grams","04",61
,"2022","2022","2000 - 2499 grams","05",195
,"2022","2022","2500 - 2999 grams","06",684
,"2022","2022","3000 - 3499 grams","07",1081
,"2022","2022","3500 - 3999 grams","08",647
,"2022","2022","4000 - 4499 grams","09",154
,"2022","2022","4500 - 4999 grams","10",20
,"2022","2022","5000 - 8165 grams","11",Suppressed
,"2022","2022","Unknown or Not Stated","12",Suppressed
,"2023","2023","499 grams or less","01",Suppressed
,"2023","2023","500 - 999 grams","02",20
,"2023","2023","1000 - 1499 grams","03",22
,"2023","2023","1500 - 1999 grams","04",63
,"2023","2023","2000 - 2499 grams","05",182
,"2023","2023","2500 - 2999 grams","06",663
,"2023","2023","3000 - 3499 grams","07",1085
,"2023","2023","3500 - 3999 grams","08",651
,"2023","2023","4000 - 4499 grams","09",156
,"2023","2023","4500 - 4999 grams","10",26
,"2023","2023","5000 - 8165 grams","11",0
,"2023","2023","Unknown or Not Stated","12",0
,"2024","2024","499 grams or less","01",10
,"2024","2024","500 - 999 grams","02",34
,"2024","2024","1000 - 1499 grams","03",37
,"2024","2024","1500 - 1999 grams","04",58
,"2024","2024","2000 - 2499 grams","05",199
,"2024","2024","2500 - 2999 grams","06",668
,"2024","2024","3000 - 3499 grams","07",1100
,"2024","2024","3500 - 3999 grams","08",654
,"2024","2024","4000 - 4499 grams","09",143
,"2024","2024","4500 - 4999 grams","10",18
,"2024","2024","5000 - 8165 grams","11",0
,"2024","2024","Unknown or Not Stated","12",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Richmond city, VA (51760)"
"Group By: Year; Infant Birth Weight 12"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Mar 28, 2026 2:39:32 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Mar 28, 2026 2:39:32 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."