"Notes","Year","Year Code","OE Gestational Age Recode 11","OE Gestational Age Recode 11 Code",Births
,"2016","2016","Under 20 weeks","01",Suppressed
,"2016","2016","20-27 weeks","02",28
,"2016","2016","28-31 weeks","03",37
,"2016","2016","32-33 weeks","04",40
,"2016","2016","34-36 weeks","05",260
,"2016","2016","37-38 weeks","06",786
,"2016","2016","39 weeks","07",989
,"2016","2016","40 weeks","08",637
,"2016","2016","41 weeks","09",233
,"2016","2016","42 weeks or more","10",14
,"2016","2016","Unknown or Not Stated","11",Suppressed
,"2017","2017","Under 20 weeks","01",0
,"2017","2017","20-27 weeks","02",29
,"2017","2017","28-31 weeks","03",32
,"2017","2017","32-33 weeks","04",45
,"2017","2017","34-36 weeks","05",251
,"2017","2017","37-38 weeks","06",839
,"2017","2017","39 weeks","07",978
,"2017","2017","40 weeks","08",619
,"2017","2017","41 weeks","09",218
,"2017","2017","42 weeks or more","10",15
,"2017","2017","Unknown or Not Stated","11",Suppressed
,"2018","2018","Under 20 weeks","01",Suppressed
,"2018","2018","20-27 weeks","02",29
,"2018","2018","28-31 weeks","03",40
,"2018","2018","32-33 weeks","04",34
,"2018","2018","34-36 weeks","05",222
,"2018","2018","37-38 weeks","06",933
,"2018","2018","39 weeks","07",970
,"2018","2018","40 weeks","08",643
,"2018","2018","41 weeks","09",258
,"2018","2018","42 weeks or more","10",Suppressed
,"2018","2018","Unknown or Not Stated","11",Suppressed
,"2019","2019","Under 20 weeks","01",Suppressed
,"2019","2019","20-27 weeks","02",37
,"2019","2019","28-31 weeks","03",32
,"2019","2019","32-33 weeks","04",46
,"2019","2019","34-36 weeks","05",227
,"2019","2019","37-38 weeks","06",899
,"2019","2019","39 weeks","07",964
,"2019","2019","40 weeks","08",657
,"2019","2019","41 weeks","09",217
,"2019","2019","42 weeks or more","10",Suppressed
,"2019","2019","Unknown or Not Stated","11",Suppressed
,"2020","2020","Under 20 weeks","01",Suppressed
,"2020","2020","20-27 weeks","02",31
,"2020","2020","28-31 weeks","03",47
,"2020","2020","32-33 weeks","04",53
,"2020","2020","34-36 weeks","05",190
,"2020","2020","37-38 weeks","06",838
,"2020","2020","39 weeks","07",1025
,"2020","2020","40 weeks","08",620
,"2020","2020","41 weeks","09",177
,"2020","2020","42 weeks or more","10",13
,"2020","2020","Unknown or Not Stated","11",Suppressed
,"2021","2021","Under 20 weeks","01",Suppressed
,"2021","2021","20-27 weeks","02",39
,"2021","2021","28-31 weeks","03",29
,"2021","2021","32-33 weeks","04",31
,"2021","2021","34-36 weeks","05",248
,"2021","2021","37-38 weeks","06",875
,"2021","2021","39 weeks","07",1014
,"2021","2021","40 weeks","08",544
,"2021","2021","41 weeks","09",182
,"2021","2021","42 weeks or more","10",15
,"2021","2021","Unknown or Not Stated","11",Suppressed
,"2022","2022","Under 20 weeks","01",Suppressed
,"2022","2022","20-27 weeks","02",25
,"2022","2022","28-31 weeks","03",40
,"2022","2022","32-33 weeks","04",47
,"2022","2022","34-36 weeks","05",228
,"2022","2022","37-38 weeks","06",827
,"2022","2022","39 weeks","07",976
,"2022","2022","40 weeks","08",551
,"2022","2022","41 weeks","09",204
,"2022","2022","42 weeks or more","10",10
,"2022","2022","Unknown or Not Stated","11",Suppressed
,"2023","2023","Under 20 weeks","01",0
,"2023","2023","20-27 weeks","02",25
,"2023","2023","28-31 weeks","03",28
,"2023","2023","32-33 weeks","04",42
,"2023","2023","34-36 weeks","05",209
,"2023","2023","37-38 weeks","06",845
,"2023","2023","39 weeks","07",977
,"2023","2023","40 weeks","08",559
,"2023","2023","41 weeks","09",176
,"2023","2023","42 weeks or more","10",11
,"2023","2023","Unknown or Not Stated","11",Suppressed
,"2024","2024","Under 20 weeks","01",Suppressed
,"2024","2024","20-27 weeks","02",40
,"2024","2024","28-31 weeks","03",36
,"2024","2024","32-33 weeks","04",43
,"2024","2024","34-36 weeks","05",242
,"2024","2024","37-38 weeks","06",898
,"2024","2024","39 weeks","07",956
,"2024","2024","40 weeks","08",556
,"2024","2024","41 weeks","09",140
,"2024","2024","42 weeks or more","10",Suppressed
,"2024","2024","Unknown or Not Stated","11",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"States: Richmond city, VA (51760)"
"Group By: Year; OE Gestational Age Recode 11"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Mar 28, 2026 2:34:44 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Mar 28, 2026 2:34:44 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."